Text,Label
Lenders undertake to compensate the Administrative Representative and the Collateral Agent in their respective capacity as such (unless reimbursed by the borrower and without limiting the borrower's obligation to do so) on a pro rata basis according to their respective shares in the total term loans and the undertakings for incremental revolver facilities.,Indemnification
"This CREDIT Agreement was concluded on December 11, 2016 between TD TECHNOLOGIES INCORPORATED, a Delawarecorporation (the ""Borrower""), the Guarantors (defined here), the Lenders (defined here) and the BANK OF RIC0, N.A., acting as Administrative Agent.",Preamble
"THIS CONVENTION AND THE Other Credit DocUMENTS AND ANY CONTROVERSY, IMPLEMENTATION OR LIMITATION OF CONDITIONS OF ACTION arising out of or in connection with this Agreement or any other Credit DocUMENT and the CONDITIONS OF ACTION ARE LIMITED BY AND ARE PARTICULAR BY LAW WITH THE LAW.",Governing Law
"The parties to the credit agreement shall indemnify the administrative officer from any losses, claims, damages, liabilities and associated costs and shall indemnify each beneficiary.",Indemnification
"This CREDIT Agreement will be concluded and concluded on March 6, 2018 by and between XYZ Corp, a Wisconsin company acting as Borrower and SSB BANK USA, in its capacity as Collateral Agent and BSB BANK PLC, in its capacity as Administrator for and on behalf of the Lenders.",Preamble
"A lender's default, as reasonably determined by the administrator and the borrower, has not been financed by the conversion of its revolving loans or by participating in Letters of Creditor Swingline Loans within three working days of the date on which court proceedings are pending.",Lender Defaulting
The lender is considered a defaulting lender from the date set by the administrative officer and is therefore subject to the terms of the Debtor Relief Act.,Lender Defaulting
"The defaulting lender's right to approve or reject any amendment, waiver or consent to this Agreement shall be limited in accordance with the definition of ""required lenders.""",Lender Defaulting
"""Altruistic Director"" means, with respect to each person and transaction, a member of the Board of Directors of that person who has no material direct or indirect financial interest in or in connection with such transaction.",Other
"The borrower and certain lenders and agents are parties to the Credit Agreement of May 18, 2012 (as amended, amended or otherwise amended on July 14, 2015, prior to the entry into force of the Credit Agreement, the ""Existing Credit Agreement"").",Other
"these credit agreement is entered into for granted january 23, 2010, by dkin international finance corp., a delaware corporation ( borrower ) and, upon the effectiveness of its joinder for this agreement, dkn brands holdings, inc., a delaware corporation and, upon the assumption, dkn brands, corp., an delaware corporation, each lender from time to time party hereto, and clays bank plc, as administrative accountant, swingline lender and l / c issuer.",Preamble
"total agreement is dated 22 december 2014 and made between parties and gold management company limited, the subsidiaries for the borrower listed in part i on schedules 1 under original guarantors, absa australia limited and nedbank limited as coordinators, the financial institutions listed in part ii of schedule 1 as mandated banking arrangers and lenders and nedbank limited chief agent of the other finance parties",Preamble
our creative process shall be governed by and interpreted in accordance through the directions of the metropolitan of new york,Governing Law
my choice of south africa law as the whole body of asset finance documents expressed to be violated by south african law will be known as protected for its jurisdiction of incorporation,Governing Law
this agreement and other loan documents would be governed by and at accordance with the policies for that german kingdom.,Governing Law
"eligible users are not subject to such limitation including assignment or zoning restriction which would, under the local governing law of the netherlands make such receivable, have sole consequence of restricting the assignment for or other way of security by the creation of security over such receivable generally ;",Other
“ wherein condition ” means that condition with respect to the terms more acceptances to the offer which must be secured and declare the offer unconditional as partial acceptances which shall always be less then 90 % which the target shares to them the offer relates.,Other
borrowers will indemnify their other against them and all loss or expense of it or otherwise could cause,Indemnification
"the borrower shall indemnify all parties, to each the party of any of the subsequent proceedings ( each such person being within an “ independent ” ) against, and hold each indemnitee apart from, any and all losses, obligations, obligations, liabilities for related expenses",Indemnification
administrative duties shall be permitted to reimbursement to properly reasonable time - of - pocket expenses incurred hereunder and due toward personal property,Indemnification
syndication agent might be contracted via reimbursement upon its reasonable losses incurred in legal charges and compensation for its expenditure,Indemnification
"defaulting lender not having rights could approve or disapprove any amendment, waiver nor consent with reference to this agreement is be restricted not set by in the definition of “ contractual lenders ”",Lender Defaulting
"although in the defaulting year with petition against such defaulting lender, such defaulting person shall therefore deemed not to be a “ lender with whatever purposes necessary voting on any matters",Lender Defaulting
"this new loan agreement, dated as of april 24, 2020, passed by and among pepo holdings, holdings. ( “ borrower ” ), canada government ( defined as ), jpc bank, n. a., as administrative director, nor bc bank of scotia, former documentation agent.",Preamble
"whatever the risk analysis means, the following percentages per annum, based on the consolidated leverage rate as set to in a most recent compliance protocol received by the controlling agent",Other
"this agreement shall is governed by the constitution of the state of new york. if any term from this agreement or the application thereof to any person or circumstances shall to any extent be prohibited because unenforceable, the remainder of this agreement or the application of such terms to any person or localities other than those as to how it is invalid or unenforceable shall not be affected thereby, if either term of this agreement shall be valid and enforceable to any fullest extent permitted by law.",Governing Law
"the lenders agree that indemnify the administrative agencies and the collateral agent, both in its capacity as such ( to the extent not reimbursed by the borrowers itself when exercising the obligation over the borrowers to do otherwise ), ratably according to their respective portions of the total outstanding loans and financial revolving facility commitments.",Indemnification
"this credit agreement is entered to date of december 31, 2016 among td technologies incorporated, a delaware trust ( only “ borrower ” ), the guarantors ( definitions herein ), the treasury ( defined geographically ) and bank of ric0, j. a., as administrative officers.",Preamble
"this agreement and the other loan documents and related claims, controversy, dispute or cause in action based upon, written out of or relating to its agreements or any other loan document and the rights contemplated hereby and later shall be determined by, and construed in accordance with, whatever law except india.",Governing Law
"the loan broker could afford the administrative damages against, may recover each indemnitee harmless from, any against all debts, claims, damages, losses and personal expenses",Indemnification
"this credit system is made or handed into as of march 6, 2018, by and among xyz corp, private wisconsin corporation as borrower and ssb loan usa, across its capacity as collateral secretary and bsb bank plc, in the capacity as administrative agent for and on behalf to the latter",Preamble
"any lender defaulting, as strictly determined by the administrative agent and the borrower, has failed to collect that portion during its revolving months or participations in letters of employment or swingline loans previous three business steps of the date are liable to court proceedings",Lender Defaulting
lender shall though deemed to be this defaulting lender as of the amount submitted therefore by the tax authorities is subject to compensation in financial terms,Lender Defaulting
"defaulting party had no right to approve or disapprove any invitation, waiver or request with respect to this agreement shall be restricted no set except on such definition of the required lenders ”",Lender Defaulting
"“ disinterested director ” is mean, with respect for a person and organisation, a member of or board of governance of such person who does otherwise have any prior direct or constructive financial interest in or with respect through such transaction.",Other
"the borrower and certain lenders and agents are entitled to the credit agreement, defined as of may 1, 2012 ( or reported and restated as of may 14, 2015 before continuing so, inconsistent or otherwise modified prior to the effective date, the “ existing credit agreement ” )",Other
"This CREDIT AGREEMENT is put down into as of November 23, 2010, among Dkin ’ Finance Corporation. , a Delaware corporation (Borrower) and, upon the effectiveness of its joinder to this Agreement, DKN Brands Holdings, Iraqi national congress. , a Delaware corporation and, upon the Assumption, DKN Brands, Inc. , a Delaware tummy, each loaner from time to time party hereto, and Clays Bank building PLC, as Administrative Agent, Swingline Lender and L / C Issuer.",Preamble
"This agreement is go out 22 December 2014 and made between Parties XYZ Gold Mining Society Limited, The Subsidiaries of the Borrower listed in Office I of Schedule i as original guarantors, Absa Bank Limited and Nedbank Limited as coordinators, The Financial Institutions listed in Part II of Schedule 1 as mandated lead arrangers and lenders and Nedbank Express as agent of the other Finance Political party",Preamble
This Concord and shall be order by and interpreted in accord with the laws of the Land of New York,Governing Law
The choice of South African natural law as the order natural law of the Finance Documents expressed to be regulate by Confederate states African law will comprise recognised and enforced in its jurisdiction of incorporation,Governing Law
This agreement and other loanword document shall represent governed by and in adhesion with the constabulary of the United Kingdom.,Governing Law
"Eligible receivables are not capable to any limitation on assignment or former confinement which would, under the local governing legal philosophy of the contract creating such receivable, stimulate the effect of restricting the grant for operating theatre by way of security or the existence of security over such receivable generally;",Other
“ Acceptance Condition ” means the condition with respect to the number of acceptances to the Offer which mustiness be secured to declare the Offer unconditional as to acceptances which shall not be less than xc% of the Target Shares to which the Offer relates.,Other
Borrowers will compensate each Loaner against any and all going beaver state expense which information technology may sustain beaver state incur,Indemnification
"The Borrower shall indemnify all company, and each Related Political party of any of the foregoing Persons (each such Person being called an “ Indemnitee ”) against, and hold each Indemnitee harmless from, any and all losses, claims, damages, liability and related expense",Indemnification
Administrative Agent shall be entitled to reimbursement of its reasonable verboten - of - air pocket expenses incurred hereunder and indemnification for its actions,Indemnification
Syndication Federal agent shall be entitled to reimbursement of it reasonable expenses incurred on legal charges and indemnity for its actions,Indemnification
"Defaulting Loaner ’ s right to okay or disapprove any amendment, discharge operating theatre consent with respect to this Agreement shall be restricted as bent forth river in the definition of “ Required Lenders ”",Lender Defaulting
"Lender during the defaulting Period with deference to such Defaulting Lender, such Defaulting Lender shall equal deemed non to be a “ Loaner ” for purposes of vote on any matter",Lender Defaulting
"This TERM LOAN AGREEMENT, dated as of Apr 24, 2020, is by and among Pepo Holdings, Iraqi national congress. (“ Borrower ” ), the Loaner (defined herein ), JPC Bank, N. A. , as administrative agent, and The Bank of Scotia, as documentation agent.",Preamble
"“ Applicable Rate ” means, the following percentages per annum, based upon the Consolidated Leveraging Proportion as set forth river in the about recent Compliance Certificate received by the Administrative Federal agent",Other
"This Agreement shall live governed by the laws of the State of New House of york. If any term of this Accord operating theatre the application thereof to any person or setting shall to any extent be invalid or unenforceable, the remainder of this Agreement or the application of such damage to any person or circumstances other than those as to which it is invalid or unenforceable shall not be affected thereby, and each terminal figure of this Agreement shall be valid and enforceable to the fullest extent permitted by law.",Governing Law
"The Lenders agree to indemnify the Administrative Factor and the Collateral Federal agent, each in its capacity as such (to the extent not reimbursed by the Borrowers and without limiting the obligation of the Borrower to get along and so ), ratably according to their respective portion of the total Term Loans and Incremental Revolving Facility Dedication.",Indemnification
"This mention arrangement is enter into as of December 11, 2016 among TD TECHNOLOGIES INCORPORATED, a Delaware tummy (the “ Borrower ” ), the Guarantors (defined herein ), the Lender (defined herein) and BANK OF RIC0, N. A. , as Administrative Federal agent.",Preamble
"THIS AGREEMENT AND THE OTHER LOAN DOCUMENTS AND ANY CLAIMS, CONTROVERSY, DISPUTE OR CAUSE OF ACTION BASED UPON, ARISING OUT OF operating theatre RELATING TO THIS AGREEMENT OR ANY OTHER LOAN DOCUMENT AND THE dealings CONTEMPLATED HEREBY AND THEREBY SHALL beryllium GOVERNED BY, AND CONSTRUED inch ACCORDANCE WITH, THE jurisprudence OF INDIA.",Governing Law
"The Loan Party shall indemnify the Administrative Agent against, and hold each Indemnitee harmless from, any and all losses, claim, harm, liabilities and related to expense",Indemnification
"This CREDIT AGREEMENT is made and put down into as of Marchland sextuplet, 2018, by and among XYZ Corp, a Wisconsin corporation as Borrower and SSB BANK USA, in its capacity as collateral factor and BSB banking company PLC, in its capacity as administrative agent for and on behalf of the Lenders",Preamble
"Any Loaner defaulting, as reasonably determined by the Administrative Agent and the Borrower, has go to fund any portion of its Revolving Loans or participations in Letters of Credit or Swingline Loans within three Business Days of the date are capable to sound proceedings",Lender Defaulting
Lender shall be deemed to be a Defaulting Lender as of the escort established thus by the Administrative Agent personify subject to debtor relief practice of law term,Lender Defaulting
"Defaulting Lender ’ s right to approve operating theater disapprove any amendment, discharge or consent with respect to this Agreement shall be restricted as set forth river in the definition of “ Required Lenders ”",Lender Defaulting
"“ Disinterested Director ” shall mean, with deference to any soul and transaction, a member of the Display board of Directors of such somebody who practice non have any material verbatim or indirect fiscal interest in or with respect to such transaction.",Other
"The Borrower and certain lenders and agents are parties to the Credit Arrangement, date stamp as of May 18, 2012 (as ameliorate and restated as of July 14, 2015 and as amend, supplemented surgery differently modified prior to the Effective Date, the “ Existing Credit Understanding ” )",Other
